merchant,vertical,tier,seasonality,peak_months,engagement_month_label,engagement_month_sort,engagement_date,engagement_type,priority,owner,fy26_fc_gmv,status,next_action,leadership_flag,playbook
Canada Wheels,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,$1.01M,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Canadian Tire (Pending),Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Alex Utting,,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Clinique d'ophtalmologie COI Laval Inc. (410),Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$84,240",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Dirty Diesel Customs,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$513,649",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Factory Optical,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,$186.56,Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Giant Bicycle Canada,Fitness & Mobility,Tier 2,"spring_home, summer_home","Apr, May, Jun, Jul",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$333,547",Planned,Schedule planning touchpoint,No,New Year / spring / holiday equipment financing
INFINILOOK - New Look Canada,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$74,029",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
IRIS Ste-Julie (48),Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$10,905",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
International Institute of Aesthetic Medicine USA,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$209,747",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Iris Eyewar,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$397,923",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Jardin De Ville,Outdoor & Pools,Tier 2,summer_home,"Jun, Jul",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$7,025",Planned,Schedule planning touchpoint,No,Pre-summer install and outdoor living push
Kits Eyecare,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$6,687",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Mr. Lube,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$467,107",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
New Look Canada,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,$2.15M,Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Oasis Aesthetics Spa - Winnipeg,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$200,301",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Optique Beauport Inc. (308),Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$5,015",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
PMC Tire,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,$1.14M,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Park Auto Motorsports,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$436,488",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Parts Avatar,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$434,154",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Parts Engine,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$935,339",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Removery,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic","Jan, Feb, Apr, May, Jun",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,$1.75M,Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Removery - Kitsilano,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$242,743",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Shino Bay Cosmetic Dermatology - In-Store,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$8,092",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Speedy Glass,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,$416.25,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Tdot Performance,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$805,141",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
The Vision Clinic,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$1,037",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Tire Connect,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$253,691",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Trevi,Outdoor & Pools,Tier 2,summer_home,"Jun, Jul",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Saagar Chugh,"$75,210",Planned,Schedule planning touchpoint,No,Pre-summer install and outdoor living push
Utopia Spa Centre,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$441,968",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Vogue Optical,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$14,295",Planned,Schedule planning touchpoint,No,New Year / pre-summer treatment package financing
Rona,Home Improvement,Tier 0,"spring_home, summer_home, holiday","Apr, May, Jun, Jul, Nov, Dec",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,Spring reno / summer outdoor / holiday tools
Samsung,Electronics & Wireless,Tier 0,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,BTS / holiday device and accessory financing
Structube,Furniture & Home,Tier 0,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,Spring refresh / move season / holiday big-ticket financing
Canac,Home Improvement,Tier 1,"spring_home, summer_home, holiday","Apr, May, Jun, Jul, Nov, Dec",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,High,Cathryn Felton,$1.24M,Planned,Lock creative and launch checklist,No,Spring reno / summer outdoor / holiday tools
Canon,Electronics & Wireless,Tier 1,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Cathryn Felton,$2.55M,Planned,Lock creative and launch checklist,No,BTS / holiday device and accessory financing
Cozey,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Alex Utting,,Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
EQ3,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Cathryn Felton,"$974,442",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
JYSK,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Lynda Khouildi,"$445,946",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Jump+,Electronics & Wireless,Tier 1,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Saagar Chugh,$6.47M,Planned,Lock creative and launch checklist,No,BTS / holiday device and accessory financing
MUST,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Lynda Khouildi,"$6,415",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Maison Corbeil,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Lynda Khouildi,"$10,281",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Urban Barn,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,High,Cathryn Felton,$1.89M,Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Ashley Home Store,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,"$430,215",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
Bath Depot,Home Improvement,Tier 2,"spring_home, summer_home","Apr, May, Jun, Jul",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,Medium,Cathryn Felton,"$747,357",Planned,Schedule planning touchpoint,No,Spring reno / summer outdoor / holiday tools
Bath Depot In-Store,Home Improvement,Tier 2,"spring_home, summer_home","Apr, May, Jun, Jul",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,Medium,Cathryn Felton,"$584,088",Planned,Schedule planning touchpoint,No,Spring reno / summer outdoor / holiday tools
Bowers & Wilkins,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$116,437",Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Browns Shoes,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Cathryn Felton,"$939,763",Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Canadian Beauty School,Education,Tier 2,"bts, new_year","Aug, Sep, Jan, Feb",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,$2.09M,Planned,Schedule planning touchpoint,No,BTS / New Year enrollment financing
Cellcom Communications,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,$4.30M,Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Definitive Technology,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,$868.29,Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Denon,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$67,666",Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Dufresne,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$124,984",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
Fizz,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,$27.40M,Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Footlocker,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Alex Utting,,Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Giant Bicycle Canada,Fitness & Mobility,Tier 2,"spring_home, summer_home","Apr, May, Jun, Jul",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$333,547",Planned,Schedule planning touchpoint,No,New Year / spring / holiday equipment financing
Giant Tiger,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,"$89,132",Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Hart,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,$108.48,Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Hetta Furniture,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$1,233",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
INDOCHINO 855-334-0788,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$8,982",Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Jardin De Ville,Outdoor & Pools,Tier 2,summer_home,"Jun, Jul",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$7,025",Planned,Schedule planning touchpoint,No,Pre-summer install and outdoor living push
Marantz,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$13,641",Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Mobile Klinik,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,$2.06M,Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Omnia Tattoo Academy,Education,Tier 2,"bts, new_year","Aug, Sep, Jan, Feb",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$55,793",Planned,Schedule planning touchpoint,No,BTS / New Year enrollment financing
PROGRAMME GS+,Education,Tier 2,"bts, new_year","Aug, Sep, Jan, Feb",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$54,052",Planned,Schedule planning touchpoint,No,BTS / New Year enrollment financing
Polk Audio,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,"$53,260",Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Quoted Tech Gaming PC's,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,$1.85M,Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Ren's Pet Depot (SFCC),Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,"$77,881",Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Ren's Pet Depot (VCN),Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,"$6,035",Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Rove Concepts,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$452,622",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
Rwireless,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Saagar Chugh,"$1,459",Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Softmoc,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Cathryn Felton,XX,Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Sunday Furniture Ltd,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$519,933",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
Transformer Table,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",May 2026,2026-05,2026-05-01,T-12 to T-8 planning,Medium,Lynda Khouildi,"$195,320",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
Trevi,Outdoor & Pools,Tier 2,summer_home,"Jun, Jul",May 2026,2026-05,2026-05-01,T-8 to T-4 launch prep,Medium,Saagar Chugh,"$75,210",Planned,Schedule planning touchpoint,No,Pre-summer install and outdoor living push
Goodmorning.com,Sleep,Tier 0,"spring_home, labour_day, holiday","Apr, May, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-12 to T-8 planning,High,Cathryn Felton,$3.44M,Planned,Lock creative and launch checklist,Yes,Spring / Labour Day / holiday mattress and bedding push
Samsung,Electronics & Wireless,Tier 0,"bts, holiday","Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,BTS / holiday device and accessory financing
Sleep Country,Sleep,Tier 0,"spring_home, labour_day, holiday","Apr, May, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-12 to T-8 planning,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,Spring / Labour Day / holiday mattress and bedding push
Structube,Furniture & Home,Tier 0,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,Spring refresh / move season / holiday big-ticket financing
Canon,Electronics & Wireless,Tier 1,"bts, holiday","Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Cathryn Felton,$2.55M,Planned,Lock creative and launch checklist,No,BTS / holiday device and accessory financing
Cozey,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Alex Utting,,Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
EQ3,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Cathryn Felton,"$974,442",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
JYSK,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Lynda Khouildi,"$445,946",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Jump+,Electronics & Wireless,Tier 1,"bts, holiday","Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Saagar Chugh,$6.47M,Planned,Lock creative and launch checklist,No,BTS / holiday device and accessory financing
MUST,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Lynda Khouildi,"$6,415",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Maison Corbeil,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Lynda Khouildi,"$10,281",Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Urban Barn,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,High,Cathryn Felton,$1.89M,Planned,Lock creative and launch checklist,No,Spring refresh / move season / holiday big-ticket financing
Ashley Home Store,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,Medium,Saagar Chugh,"$430,215",Planned,Schedule planning touchpoint,No,Spring refresh / move season / holiday big-ticket financing
Bowers & Wilkins,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$116,437",Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
Browns Shoes,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,Medium,Cathryn Felton,"$939,763",Planned,Schedule planning touchpoint,No,BTS / holiday merchandising and offer coordination
Canadian Beauty School,Education,Tier 2,"bts, new_year","Aug, Sep, Jan, Feb",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,$2.09M,Planned,Schedule planning touchpoint,No,BTS / New Year enrollment financing
Cellcom Communications,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Jun 2026,2026-06,2026-06-01,T-8 to T-4 launch prep,Medium,Saagar Chugh,$4.30M,Planned,Schedule planning touchpoint,No,BTS / holiday device and accessory financing
